Date : 2026-03-12 23:57:55
Directory : /home/ubuntu/cast-clone/cast-clone-backend/app
Total : 65 files,  9775 codes, 2361 comments, 2353 blanks, all 14489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         65 |      9,775 |      2,361 |      2,353 |     14,489 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ubuntu/cast-clone/cast-clone-backend/app/__init__.py                                  | Python   |          0 |          0 |          1 |          1 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/__init__.py                              | Python   |         14 |          1 |          3 |         18 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/analysis.py                              | Python   |         81 |         10 |         17 |        108 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/graph.py                                 | Python   |        228 |         19 |         46 |        293 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/graph_views.py                           | Python   |        344 |         29 |         71 |        444 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/health.py                                | Python   |         56 |          4 |         11 |         71 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/projects.py                              | Python   |        100 |          7 |         18 |        125 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/api/websocket.py                             | Python   |         19 |          7 |          8 |         34 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/config.py                                    | Python   |         20 |          1 |          5 |         26 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/main.py                                      | Python   |         74 |          4 |         17 |         95 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/__init__.py                           | Python   |         34 |          1 |          3 |         38 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/context.py                            | Python   |         25 |         17 |         20 |         62 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/db.py                                 | Python   |         50 |          1 |         14 |         65 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/enums.py                              | Python   |         55 |          1 |         10 |         66 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/graph.py                              | Python   |         93 |         12 |         25 |        130 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/models/manifest.py                           | Python   |         53 |          2 |         22 |         77 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/orchestrator/__init__.py                     | Python   |          0 |          1 |          1 |          2 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/orchestrator/pipeline.py                     | Python   |        203 |         49 |         72 |        324 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/orchestrator/progress.py                     | Python   |         31 |          6 |         11 |         48 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/orchestrator/subprocess_utils.py             | Python   |         54 |         26 |         14 |         94 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/schemas/__init__.py                          | Python   |         34 |          1 |          3 |         38 |
| /home/ubuntu/cast-clone/cast-clone-backend/app/schemas/analysis.py                          | Python   |         25 |          4 |         14 |         43 |
